[2025-02-09T19:52:10.194+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-09T19:52:10.210+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-02-09T19:52:07.956939+00:00 [queued]>
[2025-02-09T19:52:10.219+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-02-09T19:52:07.956939+00:00 [queued]>
[2025-02-09T19:52:10.219+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2025-02-09T19:52:10.233+0000] {taskinstance.py:2888} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-02-09 19:52:07.956939+00:00
[2025-02-09T19:52:10.242+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=255) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-09T19:52:10.243+0000] {standard_task_runner.py:72} INFO - Started process 260 to run task
[2025-02-09T19:52:10.242+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2025-02-09T19:52:07.956939+00:00', '--job-id', '940', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpqdvwr8b_']
[2025-02-09T19:52:10.244+0000] {standard_task_runner.py:105} INFO - Job 940: Subtask generate_txn_fact_data
[2025-02-09T19:52:10.287+0000] {task_command.py:467} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-02-09T19:52:07.956939+00:00 [running]> on host a541c7aa2e43
[2025-02-09T19:52:10.382+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Saleh' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-09T19:52:07.956939+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-09T19:52:07.956939+00:00'
[2025-02-09T19:52:10.383+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-09T19:52:10.413+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.28.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.28.0.5', 9092) IPv4]
[2025-02-09T19:52:10.414+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2025-02-09T19:52:10.415+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.28.0.5', 9092)]>: Connection complete.
[2025-02-09T19:52:10.518+0000] {conn.py:1019} INFO - Broker version identified as 2.5.0
[2025-02-09T19:52:10.518+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-09T19:52:10.675+0000] {conn.py:362} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.28.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.28.0.5', 9092) IPv4]
[2025-02-09T19:52:10.676+0000] {conn.py:393} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.28.0.5', 9092)]>: Connection complete.
[2025-02-09T19:52:10.676+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.28.0.5', 9092)]>: Closing connection. 
[2025-02-09T19:52:10.899+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1712778730522, 'account_id': 'C00630', 'customer_id': 'C00580', 'transaction_type': 'Debit', 'branch_id': 'C00794', 'currency': 'EUR', 'transaction_amount': 2873.74, 'exchange_rate': 0.9359}
[2025-02-09T19:52:10.903+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1726948330902, 'account_id': 'C00737', 'customer_id': 'C00271', 'transaction_type': 'Transfer', 'branch_id': 'C00705', 'currency': 'EUR', 'transaction_amount': 1051.42, 'exchange_rate': 1.3068}
[2025-02-09T19:52:10.906+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1726861930906, 'account_id': 'C00044', 'customer_id': 'C00441', 'transaction_type': 'Debit', 'branch_id': 'C00418', 'currency': 'USD', 'transaction_amount': 829.86, 'exchange_rate': 1.1524}
[2025-02-09T19:52:10.908+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1709495530908, 'account_id': 'C00914', 'customer_id': 'C00071', 'transaction_type': 'Deposit', 'branch_id': 'C00505', 'currency': 'USD', 'transaction_amount': 3944.33, 'exchange_rate': 0.9023}
[2025-02-09T19:52:10.913+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1738439530913, 'account_id': 'C00108', 'customer_id': 'C00055', 'transaction_type': 'Debit', 'branch_id': 'C00727', 'currency': 'GBP', 'transaction_amount': 6005.94, 'exchange_rate': 1.0826}
[2025-02-09T19:52:10.919+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1707681130918, 'account_id': 'C00676', 'customer_id': 'C00319', 'transaction_type': 'Debit', 'branch_id': 'C00822', 'currency': 'GBP', 'transaction_amount': 4136.46, 'exchange_rate': 0.9082}
[2025-02-09T19:52:10.922+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1723665130922, 'account_id': 'C00785', 'customer_id': 'C00535', 'transaction_type': 'Debit', 'branch_id': 'C00313', 'currency': 'EUR', 'transaction_amount': 3194.46, 'exchange_rate': 0.8089}
[2025-02-09T19:52:10.924+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1727812330924, 'account_id': 'C00776', 'customer_id': 'C00712', 'transaction_type': 'Transfer', 'branch_id': 'C00192', 'currency': 'EUR', 'transaction_amount': 7636.55, 'exchange_rate': 1.1443}
[2025-02-09T19:52:10.926+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1718913130926, 'account_id': 'C00860', 'customer_id': 'C00521', 'transaction_type': 'Withdrawal', 'branch_id': 'C00790', 'currency': 'USD', 'transaction_amount': 937.78, 'exchange_rate': 1.2428}
[2025-02-09T19:52:10.931+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1737143530930, 'account_id': 'C00825', 'customer_id': 'C00705', 'transaction_type': 'Debit', 'branch_id': 'C00384', 'currency': 'EUR', 'transaction_amount': 4389.5, 'exchange_rate': 1.0015}
[2025-02-09T19:52:10.937+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1735415530936, 'account_id': 'C00602', 'customer_id': 'C00381', 'transaction_type': 'Deposit', 'branch_id': 'C00090', 'currency': 'GBP', 'transaction_amount': 2193.09, 'exchange_rate': 1.3864}
[2025-02-09T19:52:10.942+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000012', 'transaction_date': 1718653930941, 'account_id': 'C00391', 'customer_id': 'C00377', 'transaction_type': 'Credit', 'branch_id': 'C00157', 'currency': 'USD', 'transaction_amount': 2815.78, 'exchange_rate': 1.478}
[2025-02-09T19:52:10.948+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000013', 'transaction_date': 1720641130945, 'account_id': 'C00271', 'customer_id': 'C00394', 'transaction_type': 'Debit', 'branch_id': 'C00314', 'currency': 'USD', 'transaction_amount': 2718.9, 'exchange_rate': 1.4808}
